"WADL field","Required?","Why WADL needs it","Candidate P6 source","P6 field type","Expected reliability","Coding convention to confirm","Fallback if absent","Owner to sit with"
"activity_id","Required","Primary key for every authorization object","Activity ID","Text","High — always populated","Is the ID stable across baseline re-issues, or regenerated?","None. Blocking.","Planner"
"activity_name","Required","Human-readable on every screen","Activity Name","Text","High","Free text or controlled vocabulary?","None. Blocking.","Planner"
"compartment","Required","The entire engine is compartment-scoped","Activity code, UDF, or embedded in WBS path","Code / UDF / parsed text","LOW — the dominant risk","THE critical question. Is compartment a code, a UDF, or parsed out of the activity name? Is it deck-frame-side-usage, and is it consistently formatted?","Manual mapping table for the pilot scope, maintained by the planner. Do NOT parse free text in production.","Planner + scheduler"
"trade / shop","Required","Man-density, saturation, crew assignment","Resource assignment or activity code","Resource / Code","Medium","Are resources modelled per trade, per shop, or per crew? Are they loaded on every activity or only on cost-significant ones?","Derive from activity code prefix; confirm the prefix convention.","Planner"
"man_hours","Required","Saturation and stranded-hours computation","Budgeted units / Budgeted labour units","Numeric","Medium — often loaded late","Are hours loaded at baseline or only after resource levelling?","Use planned duration x crew size; flag as derived.","Planner + estimator"
"early_start / early_finish","Required","Window computation, sequencing","Early Start / Early Finish","Date","High","Are these the dates the yard actually works to, or is a separate short-interval schedule the real one?","If a separate SIS exists, ingest THAT and treat P6 as the milestone frame.","Planner"
"key_event / milestone","Required","Gate markers on the sequence board","Milestone activity type + activity code","Type / Code","Medium","How are undock, launch, fast cruise, sea trials, delivery coded? Is there a controlled milestone list?","Manual milestone list for the pilot.","Planner"
"wbs_path","Required","Zone and system rollup","WBS","Hierarchy","High structurally, LOW semantically","What do the WBS levels actually mean? Manual says one thing; practice usually differs. Which level is zone, which is system, which is work package?","Ask for the WBS dictionary AND a sample export; reconcile the two.","Planner + PM"
"predecessor / successor","Required","Sequence inversion detection, run topology","Relationships","Relationship","High","Are relationships real logic, or are constraints used to force dates? Count the hard constraints — they hide logic.","Report constraint density as a data-quality metric.","Planner"
"work_order / WI","Required","Ties the plan to the authorization object","UDF or activity code","UDF / Code","Medium","Is there a WO number on the activity, or does the link live only in the MIS?","Join through the MIS on activity ID.","Planner + MIS owner"
"vessel / hull","Required","Vessel scope and RBAC","Project or EPS node","Project","High","One project per hull, or multiple hulls per project?","Project code mapping table.","Planner"
"availability / work period","Required","Scoping the operating picture","Project or WBS level 1","Project / WBS","High","Is a docking a project, or a WBS branch?","Manual mapping.","PM"
"activity_status","Recommended","Progress, variance","Status","Enum","High","Is percent complete physical, duration-based, or units-based? They give different answers.","Use status only; treat percent complete as advisory.","Planner"
"deferral / carry-over flag","Recommended","Handoff to the next availability","UDF, or absent","UDF","LOW — usually absent","Almost certainly not modelled. Ask how deferred work is actually tracked today.","Capture in WADL at close-out; do not expect P6 to carry it.","PM + planner"
"growth / AWR reference","Recommended","Growth rate, ingest provenance","UDF or separate register","UDF","LOW","Growth is usually tracked outside P6. Find where.","Ingest the growth register separately.","PM"
"coating / hot work classification","Optional","Pre-populating rule triggers","Activity code","Code","LOW","Is work type coded at all, or inferred from the activity name?","Classify at ingest from a keyword map; require planner confirmation.","Planner + safety"
