"Rule ID","Name","Kind","Trigger condition","Propagation type","Hop depth","Resulting state","Authority document","Clearing condition","Who may clear","Config anchor","Open question for the safety authority"
"R01","Primary space not selected","Completeness gate","Permit request submitted with no primary compartment","None","0","BLOCK","Yard permit procedure","A compartment is selected from the vessel register","Raiser","n/a","None — mechanical."
"R03","Coating active in certification set","Hazard cascade","A spray/service coating ticket is OPEN in any space in the requesting activity’s certification set","Ventilation (directional, source→sink) + shared boundary","1","BLOCK","NSTM Ch. 074 Vol.1; NFPA 306","Coating ticket closed AND atmosphere re-tested by marine chemist","Marine chemist","coatingCureMinutes; ventilationGraph","Does a mechanically isolated branch break the coupling, or only a physical blank?"
"R04","Hot work overhead of occupied space","Hazard cascade","Hot work authorized on the deck directly above an occupied or combustible-loaded space","Structural (vertical, downward)","1","SUSPEND","NSTM Ch. 074 Vol.1 para 074-13; MIL-STD-1689A","Hot work complete AND post-work fire watch hold elapsed","Fire watch / Fire Marshal","fireWatchHoldMinutes","Does the downward coupling extend two decks where a deck penetration exists?"
"R06","Coating starts while hot work live","Hazard cascade","A coating ticket opens in a space coupled to an ALREADY ACTIVE hot work permit","Ventilation (directional)","1–3","SUSPEND","NSTM Ch. 074; NFPA 306","Coating closed and atmosphere re-tested; permit re-checked","Marine chemist + engine re-check","coatingCureMinutes","Who wins on a race — is the later ticket refused, or the earlier one suspended? Current build suspends the earlier."
"R07","Energised bus in work envelope","Hazard cascade","Any intrusive work inside an electrical envelope whose bus is not in a verified zero-energy state","Electrical (bus topology, bidirectional)","1–2","BLOCK","NSTM Ch. 300; NAVSEA S9086-KC-STM-010","Isolation performed, tags hung, zero-energy verified and recorded","Isolation authority","isolationRegistry","Does a coupled bus segment two switchboards away require isolation, or notification only?"
"R08","Fire-watch credential invalid at request","Authorization gate","Bound fire watch has no valid, in-scope credential for the requested window","Credential","0","BLOCK","NAVSEA hot work qualification standard; yard EHS","A valid in-scope credential is bound to the permit","Raiser / EHS registry","credentialRegistry","Is a credential expiring MID-window a refusal at request time, or a scheduled suspension?"
"R09","Coating cure on shared ventilation branch","Hazard cascade","A coating cure is in progress in a space sharing the exhaust branch, but not the compartment","Ventilation (directional)","1–2","WARN","NSTM Ch. 074; NFPA 306","Cure period elapsed and atmosphere re-tested","Marine chemist","coatingCureMinutes","What work classes remain permitted under WARN? Build allows mechanical/hanging, refuses grinding, cutting, torch."
"R11","Fire bottle out of test","Authorization gate","Selected extinguisher hydrostatic test date is in the past at the permit window","None (equipment)","0","BLOCK","NFPA 10; yard fire protection instruction","An in-date bottle is selected or the bottle is re-tested","Fire protection","equipmentRegistry","Is a bottle expiring inside the window a refusal, or a mid-shift swap requirement?"
"R12","ITP hold point open on pressure boundary","ITP gate","A hold point requiring disposition is open on the activity or its predecessor","ITP","0–1","WARN","S9074-AQ-GIB-010/248; contract ITP","Disposition recorded; second attest where required","QA inspector (+L-III)","inspectionPoints; dispositionAuthority","Does an open hold point on a PREDECESSOR block fit-up, or only test?"
"R13","Flammables staged in coupled space","Hazard cascade","Open solvent/flammable stow in a space on the same ventilation branch","Ventilation (directional) + gas path","1–2","BLOCK","NFPA 306; NSTM Ch. 074","Stow secured OR vent boundary isolated and verified","Marine chemist / Fire Marshal","flammableStowRegistry","Does a closed but unsecured stow count as secured?"
"R14","Crew challenge to a derived adjacency","Governance","Crew asserts a model-derived coupling does not exist","Any","n/a","No change (challenge routes)","Yard configuration control","Approver rules on the challenge; register corrected if upheld","GF / Fire Marshal","adjacencyGraph","Who owns a correction to the adjacency graph, and what evidence is required?"
"R15","Waiver / departure from specification","Governance","An approver requests relief from a rule outcome","Any","n/a","Conditional","Contract deviation procedure","Waiver granted, scoped and time-boxed, by the cognizant authority","Cognizant technical authority","waiverPolicy","Which rules are waivable at all? Build assumes hazard cascades are NOT."
"R16","Shift boundary reached","Temporal gate","Permit end time reached","None","0","SUSPEND if work in progress; COMPLETE if never started","Yard permit procedure","Re-initiation on the next shift re-runs every check","Raiser","shiftDefinitions","Confirm the split. Build completes unstarted permits and suspends live ones."
"R17","Isolation invalidated mid-permit","Hazard cascade","A coupled energy source is restored while a cold work permit is active","Electrical","1–2","SUSPEND","NSTM Ch. 300","Isolation re-verified and a new record filed","Isolation authority","isolationRegistry","Does re-verification require a fresh walk, or does a control-room confirmation suffice?"
"R18","Permit window incomplete","Completeness gate","Date, shift, watch or bottle not chosen","None","0","BLOCK","Yard permit procedure","All four chosen and mutually consistent","Raiser","permitWindowPolicy","None — mechanical."
"R19","Pre-work site evidence missing","Evidence gate","No site photo (or, in a secure space, no completed two-signature attestation) before routing","None","0","BLOCK","Contract OQE requirement","Photo captured, or attestation signed by two credentialed persons","Raiser + witness","oqeRequirements; secureSpaces","Is a two-person attestation acceptable in lieu of photographic OQE in a secure space?"
"R20","Approval attempted past a live block","Authorization gate","Any approver attempts to approve a permit the engine holds at BLOCK","Any","n/a","Refusal (attempt logged)","Yard permit procedure; safety programme","The underlying rule clears","Whoever owns the underlying rule","n/a","Confirm no persona may override. Build assumes none."
"R21","Hold point not dispositioned at close-out","ITP gate","Close-out attempted with an open ITP hold point; or a disposition signed on a lapsed credential","ITP + credential","0–1","BLOCK / SUSPEND","MIL-STD-2035 Rev. A; T9074-AS-GIB-010/271","Disposition recorded by a valid credential; second attest where required","QA inspector (+L-III)","inspectionPoints","Does a REJECT re-arm adjacent certifications? Build says yes."
"R22","Stop work by inspection authority","Hazard cascade","Fire Marshal or QA records STOP WORK on live work","Any","0","SUSPEND","Yard safety programme; NAVSEA stop-work authority","Condition cleared and re-checked like any suspension","The issuing authority","stopWorkAuthority","Confirm QA holds stop-work authority, or restrict to Fire Marshal."
"R23","Self-witness on a secure-space attestation","Evidence gate","The credential offered as witness already carries the first signature","None","0","Refusal","Contract OQE requirement","A different credentialed person witnesses","Second person","secureSpaces","Must the witness hold a specific level, or is any credentialed person acceptable?"
