"Rule ID","Name","Kind","Trigger condition","Propagation type","Hop depth","Resulting state","Authority document","Clearing condition","Who may clear","Config anchor","Open question for the safety authority","Hazard kind","Coupling code","Hold minutes","Hold from","Clearing authority code","Work types","Categories","Effective from","Effective to","Version id"
"R03","Coating active in certification set","Hazard cascade","A spray/service coating ticket is OPEN in any space in the requesting activity’s certification set","Same space (the coated compartment is the vapour space)","0","BLOCK","NFPA 306; NSTM Ch. 074 Vol. 1","Coating ticket closed AND atmosphere re-tested by marine chemist","Marine chemist","coatingCureMinutes; ventilationGraph","Does a mechanically isolated branch break the coupling, or only a physical blank? Seed addition: the coated space itself is refused for hot work (without this row the origin of a cascade reads ALLOW). 480 min is the seed's cure; the table gives none.","coating_open","","480","raise","marine_chemist","hot_work","","","","00000000-0000-0000-0000-000000000300"
"R03","Coating active in certification set","Hazard cascade","A spray/service coating ticket is OPEN in any space in the requesting activity’s certification set","Structural (vertical, deck penetration)","1","BLOCK","NSTM Ch. 074 Vol. 1; NFPA 306","Coating ticket closed AND atmosphere re-tested by marine chemist","Marine chemist","coatingCureMinutes; ventilationGraph","Does a mechanically isolated branch break the coupling, or only a physical blank? Seed reading: the derived vertical penetration is walked (a heat path), not a ventilation edge; hot work only.","coating_open","deck_penetration","480","raise","marine_chemist","hot_work","","","","00000000-0000-0000-0000-000000000301"
"R06","Coating starts while hot work live","Hazard cascade","A coating ticket opens in a space coupled to an ALREADY ACTIVE hot work permit","Shared boundary (bulkhead)","1","WARN","Yard safety standard; NSTM Ch. 074","Coating closed and atmosphere re-tested; permit re-checked","Marine chemist + engine re-check","coatingCureMinutes","Who wins on a race — is the later ticket refused, or the earlier one suspended? Current build suspends the earlier. Seed departure (D1, left with the authority): WARN on the shared bulkhead, one hop, hot work — the boundary-posted case the table has no row for; the table's race (a coating opening beside an already-active permit) is not expressible by the engine.","coating_open","shared_bulkhead","480","raise","marine_chemist","hot_work","","","","00000000-0000-0000-0000-000000000601"
"R09","Coating cure on shared ventilation branch","Hazard cascade","A coating cure is in progress in a space sharing the exhaust branch, but not the compartment","Ventilation (directional)","2","SUSPEND","NSTM Ch. 074; NFPA 306","Cure period elapsed and atmosphere re-tested","Marine chemist","coatingCureMinutes","What work classes remain permitted under WARN? Build allows mechanical/hanging, refuses grinding, cutting, torch. Seed departure: this row is the SUSPEND for hot work the table's own note describes.","coating_open","exhaust_trunk","480","raise","marine_chemist","hot_work","","","","00000000-0000-0000-0000-000000000901"
"R09","Coating cure on shared ventilation branch","Hazard cascade","A coating cure is in progress in a space sharing the exhaust branch, but not the compartment","Ventilation (directional)","2","WARN","NSTM Ch. 074; NFPA 306","Cure period elapsed and atmosphere re-tested","Marine chemist","coatingCureMinutes","What work classes remain permitted under WARN? Build allows mechanical/hanging, refuses grinding, cutting, torch. Seed: this row is the table's WARN for every other work class.","coating_open","exhaust_trunk","480","raise","marine_chemist","","","","","00000000-0000-0000-0000-000000000902"
"R04","Hot work overhead of occupied space","Hazard cascade","Hot work authorized on the deck directly above an occupied or combustible-loaded space","Structural (vertical, downward)","1","SUSPEND","NSTM Ch. 074 Vol.1 para 074-13; MIL-STD-1689A","Hot work complete AND post-work fire watch hold elapsed","Fire watch / Fire Marshal","fireWatchHoldMinutes","Does the downward coupling extend two decks where a deck penetration exists? Seed: the fire watch (30 min) runs from the permit's close, not its raise; any work below is suspended while the permit is open.","hot_work_live","deck_penetration","30","end","fire_marshal","","","","","00000000-0000-0000-0000-000000000402"
"R07","Energised bus in work envelope","Hazard cascade","Any intrusive work inside an electrical envelope whose bus is not in a verified zero-energy state","Same space (inside the envelope)","0","BLOCK","NSTM Ch. 300; NAVSEA S9086-KC-STM-010","Isolation performed, tags hung, zero-energy verified and recorded","Isolation authority","isolationRegistry","Does a coupled bus segment two switchboards away require isolation, or notification only?","energised_bus","","","raise","isolation_authority","","","","","00000000-0000-0000-0000-000000000700"
"R07","Energised bus in work envelope","Hazard cascade","Any intrusive work inside an electrical envelope whose bus is not in a verified zero-energy state","Electrical (bus topology; direction is the coupling register's)","1","BLOCK","NSTM Ch. 300; NAVSEA S9086-KC-STM-010","Isolation performed, tags hung, zero-energy verified and recorded","Isolation authority","isolationRegistry","Does a coupled bus segment two switchboards away require isolation, or notification only?","energised_bus","electrical_bus","","raise","isolation_authority","","","","","00000000-0000-0000-0000-000000000701"
"R13","Flammables staged in coupled space","Hazard cascade","Open solvent/flammable stow in a space on the same ventilation branch","Ventilation (directional) + gas path","2","BLOCK","NFPA 306; NSTM Ch. 074","Stow secured OR vent boundary isolated and verified","Marine chemist / Fire Marshal","flammableStowRegistry","Does a closed but unsecured stow count as secured? Seed: hot work only; the clearer is narrowed to the fire marshal.","flammable_stow","exhaust_trunk","","raise","fire_marshal","hot_work","","","","00000000-0000-0000-0000-000000001301"
"R22","Stop work by inspection authority","Hazard cascade","Fire Marshal or QA records STOP WORK on live work","Same space","0","SUSPEND","Yard safety programme; NAVSEA stop-work authority","Condition cleared and re-checked like any suspension","The issuing authority","stopWorkAuthority","Confirm QA holds stop-work authority, or restrict to Fire Marshal.","stop_work","","","raise","issuing_authority","","","","","00000000-0000-0000-0000-000000002201"
