"Standard","Title / subject","Edition","Effective date","Invoking contract or authority","Binds to work types","Binds to hold points","Acceptance criteria summary","Custodian","Verification needed"
"MIL-STD-2035","Nondestructive testing acceptance criteria","Rev. A","1995-05-15 (verify currency)","NAVSEA; invoked by contract spec tree","Welding, structural repair, pressure boundary","RT, UT, MT, PT hold points","Defines rejectable indications by weld class and service; porosity, slag, cracking, incomplete fusion limits","NAVSEA 05","CONFIRM current revision and whether the contract invokes Rev. A or a later issue."
"S9074-AR-GIB-010/278","Requirements for fabrication welding and inspection","Current","Verify","NAVSEA; contract spec tree","Welding, fabrication, duct close-out","VT hold points; welder qualification","Fabrication and inspection requirements for ship structure and piping","NAVSEA 05","Confirm revision letter and any yard-specific amendments."
"S9074-AQ-GIB-010/248","Welding and brazing procedure and performance qualification","Current","Verify","NAVSEA; contract spec tree","Welding, brazing, hydrostatic test","Procedure qualification; hydro hold points","Qualification of procedures and performance; test requirements","NAVSEA 05","Confirm which hydrostatic hold points it governs versus 278."
"T9074-AS-GIB-010/271","Requirements for nondestructive testing methods","Current","Verify","NAVSEA","NDT of all classes","RT, UT, MT, PT method conformance","Method requirements, technique, personnel qualification levels","NAVSEA 05","Confirm interaction with MIL-STD-2035 — method vs acceptance."
"MIL-STD-1689A","Fabrication, welding and inspection of ships structure","Rev. A","Verify","NAVSEA","Structural fabrication and repair","Structural VT hold points","Structural fabrication tolerances and inspection","NAVSEA 05","Confirm applicability to repair as well as new construction."
"ASTM E1742/E1742M","Standard practice for radiographic examination","Current","Verify","Invoked via T9074-AS-GIB-010/271","Radiography","RT hold points","Radiographic technique, IQI placement, density and sensitivity requirements","ASTM / NAVSEA","Confirm the edition the contract locks to; ASTM revises frequently."
"NSTM Ch. 074 Vol. 1","Welding and allied processes — shipboard practice","Current","Verify","NAVSEA technical manual","Hot work of all classes","Fire watch, gas-free hold points","Shipboard hot work controls, fire watch, adjacent space requirements","NAVSEA 05","This is the primary anchor for R03/R04/R06/R09/R13 — get the safety authority to confirm the adjacency rules it implies."
"NSTM Ch. 300","Electric plant general","Current","Verify","NAVSEA technical manual","Cold work on electrical systems","Isolation verification","Tag-out, isolation and zero-energy verification","NAVSEA 05","Anchor for R07/R17. Confirm the yard tag-out instruction that implements it."
"NSTM Ch. 510","Heating, ventilating and air conditioning","Current","Verify","NAVSEA technical manual","HVAC install and balance","Air balance hold point","Ventilation system requirements and balance criteria","NAVSEA 05","Confirm which balance report satisfies system sell-off."
"NFPA 306","Control of gas hazards on vessels","Current","Verify","Invoked by yard safety programme; USCG","Hot work, confined entry, coating","Marine chemist certificate","Gas-free certification, atmosphere testing, re-test intervals","Marine chemist","Anchor for certificate validity windows. Confirm re-test interval the yard actually uses."
"NFPA 10","Portable fire extinguishers","Current","Verify","Yard fire protection instruction","All hot work","Fire bottle presence and currency","Hydrostatic test intervals and inspection requirements","Yard fire protection","Anchor for R11. Confirm the interval and who maintains the equipment registry."
"MIL-STD-1310","Shipboard bonding, grounding and other techniques","Current","Verify","NAVSEA","Cableway install","Segregation inspection","Power/IC separation requirements","NAVSEA 05","Anchor for the cableway segregation gate."
"MIL-STD-2003","Electric plant installation standard methods","Current","Verify","NAVSEA","Cableway install, terminations","Termination hold points","Installation methods for cable and terminations","NAVSEA 05","Confirm the parts applicable to this hull class."
